dataset,seed,k,auc,max_occ
epinions,42,512,0.9526981546866163,7134
epinions,42,1024,0.9526982020439277,7134
epinions,43,1,0.9483881155965497,26469
epinions,43,2,0.9500316804063964,26469
epinions,43,4,0.9509890840032795,26469
epinions,43,8,0.951109739721048,26469
epinions,43,16,0.9513147416293727,26469
epinions,43,32,0.9513593488340811,26469
epinions,43,64,0.9513551791355648,26469
epinions,43,128,0.9513528022495525,26469
epinions,43,256,0.9513522587680259,26469
epinions,43,512,0.9513528360762035,26469
epinions,43,1024,0.9513533310728637,26469
epinions,44,1,0.9530739451008631,12424
epinions,44,2,0.954584479276441,12424
epinions,44,4,0.9548968960237675,12424
epinions,44,8,0.9549708478482412,12424
epinions,44,16,0.9553236569995581,12424
epinions,44,32,0.9553635420037832,12424
epinions,44,64,0.9553683487708942,12424
epinions,44,128,0.9553642636390053,12424
epinions,44,256,0.9553633796358584,12424
epinions,44,512,0.955363169910622,12424
epinions,44,1024,0.955363308599891,12424
epinions,45,1,0.9490848859748301,9850
epinions,45,2,0.9503698595311446,9850
epinions,45,4,0.9511385577726124,9850
epinions,45,8,0.9512817893972755,9850
epinions,45,16,0.9513284555174764,9850
epinions,45,32,0.9514265370196822,9850
epinions,45,64,0.9514305409676087,9850
epinions,45,128,0.9514153663319582,9850
epinions,45,256,0.951416673168243,9850
epinions,45,512,0.9514186362415576,9850
epinions,45,1024,0.951418985783618,9850
epinions,46,1,0.9496730705482059,32690
epinions,46,2,0.9508072888688915,32690
epinions,46,4,0.9511916261502974,32690
epinions,46,8,0.9516659028590073,32690
epinions,46,16,0.9517874983938966,32690
epinions,46,32,0.9518109019261867,32690
epinions,46,64,0.9517976306034338,32690
epinions,46,128,0.9517980252476959,32690
epinions,46,256,0.9518058628827387,32690
epinions,46,512,0.9518006659815861,32690
epinions,46,1024,0.9518008148188506,32690
epinions,47,1,0.952850181804324,23416
epinions,47,2,0.9531860736836851,23416
epinions,47,4,0.9541026287805665,23416
epinions,47,8,0.9542694606958733,23416
epinions,47,16,0.9543566032229147,23416
epinions,47,32,0.9544458243976618,23416
epinions,47,64,0.9544597824014303,23416
epinions,47,128,0.9544483771822591,23416
epinions,47,256,0.9544545776073923,23416
epinions,47,512,0.9544550094609704,23416
epinions,47,1024,0.954455356747921,23416
epinions,48,1,0.9507643560834088,24104
epinions,48,2,0.9524204514123507,24104
epinions,48,4,0.9533027068488688,24104
epinions,48,8,0.9533775003931757,24104
epinions,48,16,0.9534460021803914,24104
epinions,48,32,0.9534387745526222,24104
epinions,48,64,0.9534715728734572,24104
epinions,48,128,0.953473833621301,24104
epinions,48,256,0.9534714713935043,24104
epinions,48,512,0.9534714398219634,24104
epinions,48,1024,0.953471328194015,24104
epinions,49,1,0.9507012180754906,27956
epinions,49,2,0.9516563761465232,27956
epinions,49,4,0.9525073346017343,27956
epinions,49,8,0.9527382138980944,27956
epinions,49,16,0.9527181699160285,27956
epinions,49,32,0.9527525338470288,27956
epinions,49,64,0.9527405614676756,27956
epinions,49,128,0.9527403337015585,27956
epinions,49,256,0.952740970770153,27956
epinions,49,512,0.9527402728135866,27956
epinions,49,1024,0.9527403923344203,27956
epinions,50,1,0.9510700311791855,12369
epinions,50,2,0.9519751105847062,12369
epinions,50,4,0.952675323388506,12369
epinions,50,8,0.9529749418224168,12369
epinions,50,16,0.9531498256082227,12369
epinions,50,32,0.9531316826839449,12369
epinions,50,64,0.9531323039667687,12369
epinions,50,128,0.9531377816291249,12369
epinions,50,256,0.953132311859654,12369
epinions,50,512,0.9531360666179178,12369
epinions,50,1024,0.9531359098877681,12369
epinions,51,1,0.9500719420140029,10479
epinions,51,2,0.9510859409807182,10479
epinions,51,4,0.9514089065691673,10479
epinions,51,8,0.9515417331159749,10479
epinions,51,16,0.9517102349402873,10479
epinions,51,32,0.9517380077483348,10479
epinions,51,64,0.9517609083910799,10479
epinions,51,128,0.9517451124726056,10479
epinions,51,256,0.9517464407324358,10479
epinions,51,512,0.9517474374910859,10479
epinions,51,1024,0.9517473540520135,10479
slashdot090221,42,1,0.8898619751520833,43823
slashdot090221,42,2,0.8942986727664062,43823
slashdot090221,42,4,0.8963873806825835,43823
slashdot090221,42,8,0.8973801679639475,43823
slashdot090221,42,16,0.8977391897631037,43823
slashdot090221,42,32,0.8979046966358898,43823
slashdot090221,42,64,0.8979956846693544,43823
