dataset,model,src_ent,tgt_ent,auc,n_eff
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.041666666666666664,0.9516567140796234,1001.3482381224463
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.08333333333333333,0.9485776176864505,1039.8268876082157
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.125,0.9420863620546023,1062.7137656243651
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.16666666666666666,0.9309326716422245,1042.6227621279243
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.20833333333333331,0.9145334505278855,954.9312629660957
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.25,0.8932185216645173,809.7597453411685
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.29166666666666663,0.8682684683584694,652.3787852032627
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.3333333333333333,0.8416503752680721,520.4927902558824
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.375,0.815360595187532,423.54072935158575
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.41666666666666663,0.7907700072255461,355.1424329493023
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.4583333333333333,0.7684906673939854,306.59708497764535
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.5,0.7487414724729708,271.41428772548556
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.5416666666666666,0.731728779228834,244.9524757834813
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.5833333333333333,0.7175707141791278,223.00261993596658
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.625,0.7058256988656414,201.6902840027577
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.6666666666666666,0.695482534634561,179.69310572012554
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.7083333333333333,0.6857443897286447,159.4067827153728
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.75,0.6763939733301244,143.7337341226708
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.7916666666666666,0.667252396442376,133.00290853292606
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.8333333333333333,0.6577974435965445,125.34009403307661
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.875,0.6474176463109135,118.34815461380933
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.9166666666666666,0.6358085149131388,110.41872959786616
bitcoin-alpha,Pewter (full attn),0.29166666666666663,0.9583333333333333,0.6231089921210118,101.2482502042479
bitcoin-alpha,Pewter (full attn),0.29166666666666663,1.0,0.6097844489992396,91.48406140528478
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.0,0.9161517626981579,820.3082313525167
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.041666666666666664,0.9171526514512358,854.8544754222477
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.08333333333333333,0.9160645765866745,889.2823595678414
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.125,0.9109206639272646,910.1916287957971
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.16666666666666666,0.9000979423498081,894.1164559901639
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.20833333333333331,0.8830338805808869,820.69988893326
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.25,0.8604426409588661,699.2564638512875
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.29166666666666663,0.8341574609219718,567.6481945102939
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.3333333333333333,0.8066435592690062,456.8246594336609
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.375,0.7802037804613123,374.54319879940914
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.41666666666666663,0.7563280449791686,315.7172730600977
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.4583333333333333,0.7356415248917523,273.4108994202655
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.5,0.7183024659649669,242.52287375236276
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.5416666666666666,0.7043007565234821,219.41880864278866
bitcoin-alpha,Pewter (full attn),0.3333333333333333,0.5833333333333333,0.6932567563396036,200.62824817839925
