run_name,epoch,val_auc
slashdot-k_cover_3_5m_20260517-110949,8,0.9115
slashdot-k_cover_3_5m_20260517-110949,9,0.9108
slashdot-k_cover_3_5m_20260517-110949,10,0.9166
slashdot-k_cover_3_5m_20260517-110949,11,0.9047
slashdot-k_cover_3_5m_20260517-110949,12,0.9063
slashdot-k_cover_3_5m_20260517-110949,13,0.9065
slashdot-k_cover_3_5m_20260517-110949,14,0.9146
slashdot-k_cover_3_5m_20260517-110949,15,0.9149
slashdot-k_cover_3_5m_20260517-110949,16,0.9166
slashdot-k_cover_3_5m_20260517-110949,17,0.9148
slashdot-k_cover_3_5m_20260517-110949,18,0.9142
slashdot-k_cover_3_5m_20260517-110949,19,0.9132
slashdot-k_cover_3_5m_20260517-110949,20,0.9151
slashdot-k_cover_3_5m_20260517-110949,21,0.9185
slashdot-k_cover_3_5m_20260517-110949,22,0.9132
slashdot-k_cover_3_5m_20260517-110949,23,0.9143
slashdot-k_cover_3_5m_20260517-110949,24,0.9157
slashdot-k_cover_3_5m_20260517-110949,25,0.9171
slashdot-k_cover_3_5m_20260517-110949,26,0.9182
slashdot-k_cover_3_5m_20260517-110949,27,0.9178
slashdot-k_cover_3_5m_20260517-110949,28,0.918
slashdot-k_cover_3_5m_20260517-110949,29,0.9209
slashdot-k_cover_3_5m_20260517-110949,30,0.9175
slashdot-k_cover_3_5m_20260517-110949,31,0.9187
slashdot-k_cover_3_5m_20260517-110949,32,0.9204
slashdot-k_cover_3_5m_20260517-110949,33,0.92
slashdot-k_cover_3_5m_20260517-110949,34,0.9198
slashdot-k_cover_3_5m_20260517-110949,35,0.9189
slashdot-k_cover_3_5m_20260517-110949,36,0.921
slashdot-k_cover_3_5m_20260517-110949,37,0.9183
slashdot-k_cover_3_5m_20260517-110949,38,0.919
slashdot-k_cover_3_5m_20260517-110949,39,0.9193
slashdot-k_cover_3_5m_20260517-110949,40,0.9196
slashdot-k_cover_3_5m_20260517-110949,41,0.9193
slashdot-k_cover_3_5m_20260517-110949,42,0.9194
slashdot-k_cover_3_5m_20260517-110949,43,0.921
slashdot-k_cover_3_5m_20260517-110949,44,0.9201
slashdot-k_cover_3_5m_20260517-110949,45,0.9202
slashdot-k_cover_3_5m_20260517-110949,46,0.9198
slashdot-k_cover_3_5m_20260517-110949,47,0.92
slashdot-k_cover_3_5m_20260517-110949,48,0.9202
slashdot-k_cover_3_5m_20260517-110949,49,0.9203
slashdot-k_cover_3_5m_20260517-111009,0,0.8668
slashdot-k_cover_3_5m_20260517-111009,1,0.8846
slashdot-k_cover_3_5m_20260517-111009,2,0.8846
slashdot-k_cover_3_5m_20260517-111009,3,0.8926
slashdot-k_cover_3_5m_20260517-111009,4,0.9016
slashdot-k_cover_3_5m_20260517-111009,5,0.9083
slashdot-k_cover_3_5m_20260517-111009,6,0.8916
slashdot-k_cover_3_5m_20260517-111009,7,0.8981
slashdot-k_cover_3_5m_20260517-111009,8,0.9124
slashdot-k_cover_3_5m_20260517-111009,9,0.9117
slashdot-k_cover_3_5m_20260517-111009,10,0.9192
slashdot-k_cover_3_5m_20260517-111009,11,0.9062
slashdot-k_cover_3_5m_20260517-111009,12,0.9021
slashdot-k_cover_3_5m_20260517-111009,13,0.9091
slashdot-k_cover_3_5m_20260517-111009,14,0.9138
slashdot-k_cover_3_5m_20260517-111009,15,0.9157
slashdot-k_cover_3_5m_20260517-111009,16,0.9155
slashdot-k_cover_3_5m_20260517-111009,17,0.9151
slashdot-k_cover_3_5m_20260517-111009,18,0.913
slashdot-k_cover_3_5m_20260517-111009,19,0.9133
slashdot-k_cover_3_5m_20260517-111009,20,0.9145
slashdot-k_cover_3_5m_20260517-111009,21,0.9186
slashdot-k_cover_3_5m_20260517-111009,22,0.91
slashdot-k_cover_3_5m_20260517-111009,23,0.9148
slashdot-k_cover_3_5m_20260517-111009,24,0.9153
slashdot-k_cover_3_5m_20260517-111009,25,0.9185
slashdot-k_cover_5_20260430-151939,0,0.7496
slashdot-k_cover_5_20260430-151939,1,0.7809
slashdot-k_cover_5_20260430-151939,2,0.7934
slashdot-k_cover_5_20260430-151939,3,0.8158
slashdot-k_cover_5_20260430-151939,4,0.8307
slashdot-k_cover_5_20260430-151939,5,0.8459
slashdot-k_cover_5_20260430-151939,6,0.854
slashdot-k_cover_5_20260430-151939,7,0.8593
slashdot-k_cover_5_20260430-151939,8,0.8678
slashdot-k_cover_5_20260430-151939,9,0.8695
slashdot-k_cover_5_20260430-151939,10,0.8725
slashdot-k_cover_5_20260430-151939,11,0.8766
slashdot-k_cover_5_20260430-151939,12,0.8788
slashdot-k_cover_5_20260430-151939,13,0.8814
slashdot-k_cover_5_20260430-151939,14,0.887
slashdot-k_cover_5_20260430-151939,15,0.8861
slashdot-k_cover_5_20260430-151939,16,0.8845
slashdot-k_cover_5_20260430-151939,17,0.887
slashdot-k_cover_5_20260430-151939,18,0.8874
slashdot-k_cover_5_20260430-151939,19,0.8908
slashdot-k_cover_5_20260430-151939,20,0.8921
slashdot-k_cover_5_20260430-151939,21,0.8926
slashdot-k_cover_5_20260430-151939,22,0.89
slashdot-k_cover_5_20260430-151939,23,0.8913
slashdot-k_cover_5_20260430-151939,24,0.89
slashdot-k_cover_5_20260430-151939,25,0.8955
slashdot-k_cover_5_20260430-151939,26,0.8975
slashdot-k_cover_5_20260430-151939,27,0.8957
slashdot-k_cover_5_20260430-151939,28,0.8965
slashdot-k_cover_5_20260430-151939,29,0.8939
slashdot-k_cover_5_20260430-151939,30,0.8923
slashdot-k_cover_5_20260430-151939,31,0.8972
slashdot-k_cover_5_20260430-151939,32,0.8961
slashdot-k_cover_5_20260430-151939,33,0.8975
slashdot-k_cover_5_20260430-151939,34,0.8978
slashdot-k_cover_5_20260430-151939,35,0.8986
slashdot-k_cover_5_20260430-151939,36,0.899
slashdot-k_cover_5_20260430-151939,37,0.8982
slashdot-k_cover_5_20260430-151939,38,0.8978
slashdot-k_cover_5_20260430-151939,39,0.8984
slashdot-k_cover_5_20260430-151939,40,0.8989
slashdot-k_cover_5_20260430-151939,41,0.8972
slashdot-k_cover_5_20260430-151939,42,0.8973
slashdot-k_cover_5_20260430-151939,43,0.8988
slashdot-k_cover_5_20260430-151939,44,0.8984
slashdot-k_cover_5_20260430-151939,45,0.8984
slashdot-k_cover_5_20260430-151939,46,0.8985
slashdot-k_cover_5_20260430-151939,47,0.8984
slashdot-k_cover_5_20260430-151939,48,0.8986
slashdot-k_cover_5_20260430-151939,49,0.8984
slashdot-neg_emphasis_20260430-130306,0,0.7989
slashdot-neg_emphasis_20260430-130306,1,0.8114
