term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,seed,scale,p_fdr
const,2336,4.159402749221654,,0.18810692421532962,0.18530116307691327,22.446716902123292,0.0,64.03326725834742,"cluster_2way(u,v)",0.3971567275121014,0.9417808219178082,bitcoin-alpha,51,zscored,
src_out,2336,-0.856733597354038,-0.856733597354043,0.09656029609319648,0.1522966567480335,-5.625426162646872,1.8505054821815747e-08,0.4245465599628636,"cluster_2way(u,v)",0.3971567275121014,0.9417808219178082,bitcoin-alpha,51,zscored,3.7010109643631495e-08
src_in,2336,-0.4065228752943667,-0.40652287529437003,0.09044986531363293,0.12400302475110993,-3.278330315815365,0.0010442312404161935,0.665961861368206,"cluster_2way(u,v)",0.3971567275121014,0.9417808219178082,bitcoin-alpha,51,zscored,0.0013923083205549247
tgt_out,2336,-0.03393587351989531,-0.033935873519894924,0.09080701474326645,0.0920105417470677,-0.3688259288069763,0.7122574767334666,0.9666334894532813,"cluster_2way(u,v)",0.3971567275121014,0.9417808219178082,bitcoin-alpha,51,zscored,0.7122574767334666
tgt_in,2336,-1.1191551615142736,-1.1191551615142847,0.08611034201271694,0.07468612481523189,-14.984780162084768,0.0,0.3265555648248892,"cluster_2way(u,v)",0.3971567275121014,0.9417808219178082,bitcoin-alpha,51,zscored,0.0
const,3371,5.577934849672115,,0.21664883937469961,0.24439316408625003,22.823612397372855,0.0,264.5247579284926,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,raw,
src_out,3371,-2.1575927937032424,-0.6872376316263882,0.23173128150264663,0.3079719589721454,-7.005809233100948,2.4555912858659212e-12,0.11560306679777481,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,raw,4.9111825717318425e-12
src_in,3371,-1.8902051809422702,-0.5407140318935171,0.2520559246112567,0.30249347816035743,-6.248746890140346,4.1375880499572304e-10,0.15104081496006844,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,raw,5.51678406660964e-10
tgt_out,3371,0.3621023173471312,0.11227706605261505,0.22487953005916725,0.28326853382551004,1.278300531502669,0.20114348051672493,1.4363458975439705,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,raw,0.20114348051672493
tgt_in,3371,-4.210155315606839,-1.2920212955391983,0.24344298419879173,0.2714563425449158,-15.509511681091837,0.0,0.014844062644438789,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,raw,0.0
const,3371,3.8463131516290336,,0.1388943173425686,0.15465916211583675,24.86961069107706,0.0,46.820125925662055,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,zscored,
src_out,3371,-0.6872376316263886,-0.6872376316263866,0.07381117397981592,0.09809539608634224,-7.005809233100923,2.4555912858659212e-12,0.5029635223825171,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,zscored,4.9111825717318425e-12
src_in,3371,-0.5407140318935174,-0.5407140318935216,0.07210337620133914,0.08653159447803663,-6.248746890140351,4.1375880499572304e-10,0.5823323000551864,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,zscored,5.51678406660964e-10
tgt_out,3371,0.11227706605261498,0.11227706605261409,0.06972839620390821,0.08783307468442515,1.2783005315026768,0.20114348051672204,1.1188228055237626,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,zscored,0.20114348051672204
tgt_in,3371,-1.2920212955391992,-1.2920212955391766,0.07470829369845208,0.08330509187561184,-15.50951168109146,0.0,0.2747149414331988,"cluster_2way(u,v)",0.4315542215596003,0.9204983684366657,bitcoin-otc,42,zscored,0.0
const,3354,5.445230340266059,,0.2176693022095963,0.2313564832197156,23.53610438958311,0.0,231.65063203551028,"cluster_2way(u,v)",0.3851972726746258,0.9314251639833036,bitcoin-otc,43,raw,
