term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
twohop_out,13748,-0.2834707899164526,-0.048056100305230894,0.19082786908070004,0.20528213678861743,-1.3808838623321005,0.16731467258200516,0.7531651218348903,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,0.3088886263052403
ds_wiki-elec,13748,5.64596676810462,2.566102531798932,0.23405827706655516,0.2647295524822413,21.327300692971804,0.0,283.1471615897387,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,
ds_wiki-rfa,13748,5.915671275957232,2.6886837386788494,0.2391720838989264,0.2743120134254765,21.565483779165096,0.0,370.803130405273,"cluster_2way(u,v)",0.27107606794431516,0.8651440209485016,POOLED,GINEConv,atomic,,,True,shared_slope,
src_out,13748,-2.21215970375324,-0.636011244040148,0.11768182073004199,0.13264593642904624,-16.677176574772407,0.0,0.10946398326858084,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,0.0
src_in,13748,0.10090539918994963,0.03498798782501673,0.13518564306276268,0.16480692599356458,0.6122643122042687,0.5403628973706196,1.106171992047025,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,0.7204838631608261
tgt_out,13748,0.025847705323868216,0.009075768952624743,0.09331945065222498,0.09458532311833563,0.2732739548981629,0.7846426346053819,1.0261846541127952,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,0.8669162008661673
tgt_in,13748,-3.8784437000483987,-1.3924036654797542,0.11006743134419956,0.12562216087808145,-30.873881430940337,0.0,0.020682989081789522,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,0.0
twohop_in,13748,-0.08720945468934602,-0.015997219840522166,0.2700182330443616,0.3351025185477289,-0.26024708816661646,0.79467318412732,0.9164851134233448,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,0.8669162008661673
twohop_out,13748,-0.24226645159343094,-0.04107083097273486,0.19230281665034643,0.21192162584109886,-1.1431889059547182,0.25296016741348604,0.7848470259480145,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,0.37944025112022906
ds_wiki-elec,13748,5.964699598044071,2.710967203425335,0.23702379492124012,0.25536781005622783,23.35728844105583,0.0,389.43602315440245,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,
ds_wiki-rfa,13748,6.02643918923964,2.7390279639268296,0.2410758133102927,0.2676072270978245,22.51971762719495,0.0,414.237379209742,"cluster_2way(u,v)",0.23936092676699983,0.8686354378818737,POOLED,SiGAT,atomic,,,True,shared_slope,
const,4009,2.4410928197893482,,0.07418568258212714,0.07764182891359679,31.440434285826814,0.0,11.485585562127492,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,
src_out,4009,-0.6435645035495126,-0.6435645035495146,0.05872597859976038,0.0723263701088142,-8.898061697016969,0.0,0.5254162341551962,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,0.0
src_in,4009,-0.05641545300225196,-0.05641545300225226,0.08247429455680272,0.08863059999631978,-0.6365234242416784,0.5244353183556472,0.945146390406938,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,0.6624446126597648
tgt_out,4009,-0.0872217826058296,-0.08722178260582851,0.05526078647873175,0.06652918024539871,-1.3110304724048067,0.18984746869962743,0.9164738151410503,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,0.36450713990328465
tgt_in,4009,-1.3014504140716319,-1.3014504140716423,0.06298871759704845,0.07660152982571178,-16.989874967677107,0.0,0.27213679561058596,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,0.0
twohop_in,4009,-0.021708583236377914,-0.021708583236377924,0.08470417731383555,0.09554185169179451,-0.22721543336219774,0.8202562274321505,0.9785253521964937,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,0.8377084875902814
twohop_out,4009,-0.10560843398063999,-0.10560843398064008,0.05716679882657552,0.06347939967945547,-1.6636646615109563,0.09617946205968786,0.8997769011657548,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic_zscored,,,False,,0.2410881025539103
const,4009,2.4316242037912623,,0.073270388361709,0.07082612527980633,34.332305970217426,0.0,11.37734621003621,"cluster_2way(u,v)",0.2385405140197091,0.8488401097530556,wiki-elec,walk_localattn4,atomic_zscored,,,False,,
src_out,4009,-0.6611105436651461,-0.6611105436651482,0.05920761608911357,0.07101456637357487,-9.309506167894465,0.0,0.5162776671166508,"cluster_2way(u,v)",0.2385405140197091,0.8488401097530556,wiki-elec,walk_localattn4,atomic_zscored,,,False,,0.0
src_in,4009,-0.1032805867464204,-0.10328058674642096,0.08274148503319993,0.0912246800963019,-1.132156195422024,0.25756877269177814,0.9018738841175903,"cluster_2way(u,v)",0.2385405140197091,0.8488401097530556,wiki-elec,walk_localattn4,atomic_zscored,,,False,,0.4315491797889628
