term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
b_tgt,151427,-3.0781550711446886,-1.0449669202231693,0.028887003220212988,0.05327538650877982,-57.77818375165437,0.0,0.046044126473125335,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,0.0
b_2hop,151427,-0.14024386371213798,-0.0333015802097925,0.047193488394417116,0.06846318280908018,-2.0484566734682637,0.04051527327853233,0.8691462563203968,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,0.04258539673072011
ds_bitcoin-alpha,151427,4.071348760257153,0.5100399301123044,0.09810155922387141,0.16035667934824985,25.389330689589315,0.0,58.63599518184303,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,
ds_bitcoin-otc,151427,4.143513386560076,0.6276347307636444,0.07768679782369022,0.1204584465243384,34.3978650407291,0.0,63.023860107769345,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,
ds_epinions,151427,4.173220985502121,2.0861791037903155,0.03788296034794788,0.06166736917061463,67.67308289017654,0.0,64.92423570436728,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,
ds_wiki-elec,151427,4.132515796941531,0.7924764186270574,0.054783960354173794,0.07938871992372433,52.05419360473377,0.0,62.33454689754497,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,
ds_wiki-rfa,151427,4.3473417413043105,1.1366235302090195,0.049118136654162474,0.07583906881628492,57.323247887384476,0.0,77.27277862961444,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,
ds_slashdot090221,151427,3.9584172701242903,1.872915343642856,0.040009862145935465,0.06223929260168532,63.599972053941755,0.0,52.374365841158394,"cluster_2way(u,v)",0.19711162374611013,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,shared_slope,
b_src,151427,-2.046962104269014,-0.7037636763112001,0.42231066483774016,0.6120572398373505,-3.3443965221504093,0.0008246178519217828,0.12912658143885164,"cluster_2way(u,v)",0.20454489399541753,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,interacted,
b_tgt,151427,-4.269298837688811,-1.449334408052742,0.2853240703725934,0.47566535265013404,-8.975425294070149,0.0,0.013991590090454208,"cluster_2way(u,v)",0.20454489399541753,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,interacted,
b_2hop,151427,1.2443437456985529,0.2954754094695376,0.5353927936544494,0.5167724435902706,2.407914278581669,0.0160439476592682,3.470656418616459,"cluster_2way(u,v)",0.20454489399541753,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,interacted,
ds_bitcoin-alpha,151427,4.230571311301609,0.5299866022323042,0.270563886902252,0.4791603659816386,8.82913448535041,0.0,68.75650232187421,"cluster_2way(u,v)",0.20454489399541753,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,interacted,
ds_bitcoin-otc,151427,4.1640341639521585,0.6307430959098309,0.21740093209922162,0.3836234523558737,10.854482796555757,0.0,64.3305196938858,"cluster_2way(u,v)",0.20454489399541753,0.8682269344304516,POOLED,GINEConv,marginal3,in_in,inout,True,interacted,
