term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
b_tgt,76942,-2.870637222284086,-0.7805142829250452,0.04694194092343345,0.10073972038167249,-28.49558457585653,0.0,0.056662808269264814,"cluster_2way(u,v)",0.2040577665093729,0.9200566660601492,epinions,GINEConv,marginal3,out_in,in,False,,0.0
b_2hop,76942,-1.6550292618093785,-0.43486960198846786,0.06266380536926787,0.14536443410849992,-11.385379594117676,0.0,0.19108646408796767,"cluster_2way(u,v)",0.2040577665093729,0.9200566660601492,epinions,GINEConv,marginal3,out_in,in,False,,0.0
const,82681,4.572975135999461,,0.057938693307923825,0.09247734294726859,49.44968129768837,0.0,96.83176933033502,"cluster_2way(u,v)",0.1797142572101652,0.9162322661796544,epinions,GINEConv,marginal3,out_in,inout,False,,
b_src,82681,-1.6777387237797323,-0.6036645826507435,0.034502756643928593,0.07625646122101568,-22.001266475205394,0.0,0.18679589593843585,"cluster_2way(u,v)",0.1797142572101652,0.9162322661796544,epinions,GINEConv,marginal3,out_in,inout,False,,0.0
b_tgt,82681,-3.0533734912995487,-0.8343197363283704,0.04420654723693815,0.08916264305491646,-34.24498631583785,0.0,0.047199428651756976,"cluster_2way(u,v)",0.1797142572101652,0.9162322661796544,epinions,GINEConv,marginal3,out_in,inout,False,,0.0
b_2hop,82681,-0.38207585219801843,-0.09778180930631648,0.06313869578311117,0.11358394284815936,-3.363819239034367,0.0007687187368536907,0.6824432864188048,"cluster_2way(u,v)",0.1797142572101652,0.9162322661796544,epinions,GINEConv,marginal3,out_in,inout,False,,0.001141190702133314
const,75997,3.8508368172249705,,0.04595144977479279,0.08102861755217047,47.52440475422896,0.0,47.032404294689464,"cluster_2way(u,v)",0.1438801351293022,0.9203126439201548,epinions,GINEConv,marginal3,inout_inout,out,False,,
b_src,75997,-2.1774310981708314,-0.6956916955305458,0.0433238794401425,0.10545678597994648,-20.647614830447125,0.0,0.11333229654991926,"cluster_2way(u,v)",0.1438801351293022,0.9203126439201548,epinions,GINEConv,marginal3,inout_inout,out,False,,0.0
b_tgt,75997,-2.0238985706331545,-0.6303676185799691,0.04863998079780329,0.10188579654445389,-19.8643838422572,0.0,0.13213930517630745,"cluster_2way(u,v)",0.1438801351293022,0.9203126439201548,epinions,GINEConv,marginal3,inout_inout,out,False,,0.0
b_2hop,75997,0.7704063505191378,0.2441039625389244,0.04672360212250421,0.08119328197717722,9.488547965528635,0.0,2.160644054258617,"cluster_2way(u,v)",0.1438801351293022,0.9203126439201548,epinions,GINEConv,marginal3,inout_inout,out,False,,0.0
