term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
tgt_in,70258,-2.304493998537071,-0.612188612498482,0.06022291199116268,0.09262419066360342,-24.880044640893363,0.0,0.0998092915258397,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,0.0
twohop_in,70258,-0.6095988812003308,-0.16022143199034666,0.1041098687519227,0.13936488934946956,-4.3741209428416985,1.2192277450973066e-05,0.5435688610403172,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,3.0270481947243473e-05
twohop_out,70258,-0.22870321693062795,-0.07264084718656229,0.07863362378973762,0.09296905977602558,-2.459992792027836,0.013893980618730373,0.7955646085782364,"cluster_2way(u,v)",0.20904771544283074,0.9444903071536338,epinions,walk_localattn4,atomic,False,,0.02899613346517643
const,70258,5.277397510110385,,0.07104250960284872,0.10708377193127581,49.282887732954634,0.0,195.859489162088,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,
src_out,70258,-1.8771236104417197,-0.6678298086699801,0.04210800786208082,0.09306597151062891,-20.16981695857907,0.0,0.15302964618548043,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,0.0
src_in,70258,-0.9567912534971108,-0.2780525044731221,0.06984241023478235,0.15874557141131615,-6.027199656600349,1.668248650332771e-09,0.3841234654368955,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,4.8045561129583805e-09
tgt_out,70258,0.07616173609079951,0.02933398110762755,0.04698457326166664,0.05702988106915855,1.335470715754085,0.18172233355415668,1.0791370954589632,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,0.2783831492744528
tgt_in,70258,-3.2564058254248516,-0.8650638991746452,0.05363673875606057,0.11924285270632769,-27.30902315331851,0.0,0.038526620871423056,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,0.0
twohop_in,70258,-0.9588121504558621,-0.2520054752287316,0.08940560857575687,0.16118485919321476,-5.948524912668871,2.7056972218275632e-09,0.38334797535051435,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,7.639615685160179e-09
twohop_out,70258,0.45346481615336043,0.1440297554916792,0.062231132572190886,0.09676775786507943,4.686114736538731,2.7844020762390898e-06,1.5737555235211533,"cluster_2way(u,v)",0.23540184386648133,0.9248341825841897,epinions,GINEConv,atomic,False,,7.034278929446121e-06
