term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,seed,scale,p_fdr
ds_bitcoin-alpha,127186,4.748521011389438,0.635992889840326,0.10969195365596875,0.11205046036797275,42.37841590115146,0.0,115.4134630394674,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,
ds_bitcoin-otc,127186,4.624736892760472,0.7429787307489724,0.07919161050339046,0.10413410058300614,44.41135868911699,0.0,101.97593894493247,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,
ds_epinions,127186,5.061405323481861,2.513964229441713,0.03351879258053168,0.05082104830454028,99.59269815041736,0.0,157.81213766483836,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,
ds_wiki-elec,127186,5.291019196208302,0.9327718891810196,0.06212229788877386,0.07236478696489328,73.11593688205237,0.0,198.54567932720542,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,
ds_wiki-rfa,127186,5.3283153995149615,1.4266913794677585,0.049254774849305065,0.06219968262219092,85.66467182605821,0.0,206.09050140347193,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,
ds_slashdot090221,127186,5.061536183150465,2.2919172168325357,0.041520741626013546,0.0569419208295443,88.88945278650115,0.0,157.83279026014134,"cluster_2way(u,v)",0.24447311390988902,0.8975909298193198,47,raw,
src_out,127186,-0.9820422362265879,-0.9820422362265394,0.011957862138339369,0.017518175639747318,-56.058476431667565,0.0,0.37454540705696954,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,0.0
src_in,127186,-0.14182580453104784,-0.1418258045310665,0.01067476847681754,0.016980106281652176,-8.352468599345428,0.0,0.8677724053419011,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,0.0
tgt_out,127186,0.015269992006877961,0.015269992006886614,0.01032908804530301,0.012336547621562336,1.2377848710435346,0.2157958395985573,1.015387174031253,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,0.2157958395985573
tgt_in,127186,-0.8314079173915816,-0.8314079173914811,0.011919999310285817,0.017310044534429345,-48.03037425686151,0.0,0.43543579692027534,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,0.0
